Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2_login_speakers_checkout,Chrome 121.0.0.0,,,12-02-2024 13:40:50,12-02-2024 13:41:16,25.653s,ERROR
,,,,,,,
Test Cases/1_our_product/2_Login - checkout,Chrome 121.0.0.0,,,12-02-2024 13:40:50,12-02-2024 13:41:16,25.233s,ERROR
"callTestCase(findTestCase(""6_user/2_login""), [""username"":findTestData(""2_login""), ""password"":findTestData(""2_login""), ""data"":findTestData(""2_login"")], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,12-02-2024 13:40:51,12-02-2024 13:41:13,21.935s,ERROR
Video,Chrome 121.0.0.0,,,12-02-2024 13:41:16,12-02-2024 13:41:16,0.005s,PASSED
