Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
2_login_speakers_checkout,Chrome 121.0.0.0,,,12-02-2024 13:43:28,12-02-2024 13:44:08,40.628s,ERROR
,,,,,,,
Test Cases/1_our_product/2_Login - checkout,Chrome 121.0.0.0,,,12-02-2024 13:43:28,12-02-2024 13:44:08,40.217s,ERROR
"callTestCase(findTestCase(""6_user/2_login""), [""username"":findTestData(""2_login""), ""password"":findTestData(""2_login""), ""data"":findTestData(""2_login"")], STOP_ON_FAILURE)",Chrome 121.0.0.0,,,12-02-2024 13:43:29,12-02-2024 13:44:06,36.853s,ERROR
Video,Chrome 121.0.0.0,,,12-02-2024 13:44:08,12-02-2024 13:44:08,0.003s,PASSED
