Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/20_password_login_field""), password)",Chrome 121.0.0.0,,,12-02-2024 11:40:03,12-02-2024 11:40:07,4.011s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/17_sign_in""))",Chrome 121.0.0.0,,,12-02-2024 11:40:07,12-02-2024 11:40:09,1.913s,PASSED
"data = findTestData(""2_login"").getValue(1, 1)",Chrome 121.0.0.0,,,12-02-2024 11:40:09,12-02-2024 11:40:09,0.063s,PASSED
"to = findTestObject(""Object Repository/6_user/Page_Advantage Shopping/19_username_login_field"")",Chrome 121.0.0.0,,,12-02-2024 11:40:09,12-02-2024 11:40:09,0.070s,PASSED
usernameFromObjectRepository = getText(to),Chrome 121.0.0.0,,,12-02-2024 11:40:09,12-02-2024 11:40:12,2.904s,PASSED
if (data.equals(usernameFromObjectRepository)),Chrome 121.0.0.0,,,12-02-2024 11:40:12,12-02-2024 11:40:12,0.001s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 11:40:12,12-02-2024 11:40:12,0.012s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 11:40:14,12-02-2024 11:40:14,0.002s,PASSED
,,,,,,,
Test Cases/6_user/2_login,Chrome 121.0.0.0,,,12-02-2024 11:40:14,12-02-2024 11:40:40,25.999s,PASSED
ruslan.initial.openBrowser(),Chrome 121.0.0.0,,,12-02-2024 11:40:14,12-02-2024 11:40:26,12.037s,PASSED
"click(findTestObject(""6_user/Page_Advantage Shopping/1_profile""))",Chrome 121.0.0.0,,,12-02-2024 11:40:26,12-02-2024 11:40:31,5.086s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/19_username_login_field""), username)",Chrome 121.0.0.0,,,12-02-2024 11:40:31,12-02-2024 11:40:32,1.084s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/20_password_login_field""), password)",Chrome 121.0.0.0,,,12-02-2024 11:40:32,12-02-2024 11:40:34,1.818s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/17_sign_in""))",Chrome 121.0.0.0,,,12-02-2024 11:40:34,12-02-2024 11:40:35,1.168s,PASSED
"data = findTestData(""2_login"").getValue(1, 1)",Chrome 121.0.0.0,,,12-02-2024 11:40:35,12-02-2024 11:40:35,0.077s,PASSED
"to = findTestObject(""Object Repository/6_user/Page_Advantage Shopping/19_username_login_field"")",Chrome 121.0.0.0,,,12-02-2024 11:40:35,12-02-2024 11:40:35,0.121s,PASSED
usernameFromObjectRepository = getText(to),Chrome 121.0.0.0,,,12-02-2024 11:40:35,12-02-2024 11:40:38,2.412s,PASSED
if (data.equals(usernameFromObjectRepository)),Chrome 121.0.0.0,,,12-02-2024 11:40:38,12-02-2024 11:40:38,0.001s,PASSED
else,Chrome 121.0.0.0,,,12-02-2024 11:40:38,12-02-2024 11:40:38,0.026s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 11:40:40,12-02-2024 11:40:40,0.002s,PASSED
,,,,,,,
