Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/14_poscal_code""), poscal_code)",Chrome 121.0.0.0,,,12-02-2024 09:25:57,12-02-2024 09:26:01,3.926s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/15_check_exclusive_offers""))",Chrome 121.0.0.0,,,12-02-2024 09:26:01,12-02-2024 09:26:03,2.017s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/16_Register""))",Chrome 121.0.0.0,,,12-02-2024 09:26:03,12-02-2024 09:26:05,2.041s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 09:26:07,12-02-2024 09:26:07,0.000s,PASSED
,,,,,,,
Test Cases/6_user/1_registrasi,Chrome 121.0.0.0,,,12-02-2024 09:26:08,12-02-2024 09:27:02,54.353s,PASSED
ruslan.initial.openBrowser(),Chrome 121.0.0.0,,,12-02-2024 09:26:08,12-02-2024 09:26:17,9.848s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/1_profile""))",Chrome 121.0.0.0,,,12-02-2024 09:26:17,12-02-2024 09:26:22,4.512s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/2_create_new_account""))",Chrome 121.0.0.0,,,12-02-2024 09:26:22,12-02-2024 09:26:23,0.776s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/3_username""), username)",Chrome 121.0.0.0,,,12-02-2024 09:26:23,12-02-2024 09:26:27,3.827s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/4_email""), email)",Chrome 121.0.0.0,,,12-02-2024 09:26:27,12-02-2024 09:26:28,1.678s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/5_password""), password)",Chrome 121.0.0.0,,,12-02-2024 09:26:28,12-02-2024 09:26:30,1.954s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/6_confirm_password""), confirm_password)",Chrome 121.0.0.0,,,12-02-2024 09:26:30,12-02-2024 09:26:32,1.964s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/7_first_name""), first_name)",Chrome 121.0.0.0,,,12-02-2024 09:26:32,12-02-2024 09:26:35,2.600s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/8_last_name""), last_name)",Chrome 121.0.0.0,,,12-02-2024 09:26:35,12-02-2024 09:26:37,1.731s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/9_phone""), phone)",Chrome 121.0.0.0,,,12-02-2024 09:26:37,12-02-2024 09:26:38,1.358s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/10_country""), country, true)",Chrome 121.0.0.0,,,12-02-2024 09:26:38,12-02-2024 09:26:51,12.734s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/11_city""), city)",Chrome 121.0.0.0,,,12-02-2024 09:26:51,12-02-2024 09:26:52,1.262s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/12_address""), address)",Chrome 121.0.0.0,,,12-02-2024 09:26:52,12-02-2024 09:26:53,1.539s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/13_state""), state)",Chrome 121.0.0.0,,,12-02-2024 09:26:53,12-02-2024 09:26:55,1.962s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/14_poscal_code""), poscal_code)",Chrome 121.0.0.0,,,12-02-2024 09:26:55,12-02-2024 09:26:58,2.136s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/15_check_exclusive_offers""))",Chrome 121.0.0.0,,,12-02-2024 09:26:58,12-02-2024 09:26:59,1.416s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/16_Register""))",Chrome 121.0.0.0,,,12-02-2024 09:26:59,12-02-2024 09:27:00,0.712s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 09:27:02,12-02-2024 09:27:02,0.004s,PASSED
,,,,,,,
Test Cases/6_user/1_registrasi,Chrome 121.0.0.0,,,12-02-2024 09:27:02,12-02-2024 09:27:57,54.295s,PASSED
ruslan.initial.openBrowser(),Chrome 121.0.0.0,,,12-02-2024 09:27:02,12-02-2024 09:27:13,10.597s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/1_profile""))",Chrome 121.0.0.0,,,12-02-2024 09:27:13,12-02-2024 09:27:18,4.595s,PASSED
"click(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/2_create_new_account""))",Chrome 121.0.0.0,,,12-02-2024 09:27:18,12-02-2024 09:27:18,0.827s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/3_username""), username)",Chrome 121.0.0.0,,,12-02-2024 09:27:18,12-02-2024 09:27:23,4.723s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/4_email""), email)",Chrome 121.0.0.0,,,12-02-2024 09:27:23,12-02-2024 09:27:25,1.945s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/5_password""), password)",Chrome 121.0.0.0,,,12-02-2024 09:27:25,12-02-2024 09:27:27,2.039s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/6_confirm_password""), confirm_password)",Chrome 121.0.0.0,,,12-02-2024 09:27:27,12-02-2024 09:27:29,1.941s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/7_first_name""), first_name)",Chrome 121.0.0.0,,,12-02-2024 09:27:29,12-02-2024 09:27:31,1.789s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/8_last_name""), last_name)",Chrome 121.0.0.0,,,12-02-2024 09:27:31,12-02-2024 09:27:32,1.455s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/9_phone""), phone)",Chrome 121.0.0.0,,,12-02-2024 09:27:32,12-02-2024 09:27:34,1.487s,PASSED
"selectOptionByLabel(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/10_country""), country, true)",Chrome 121.0.0.0,,,12-02-2024 09:27:34,12-02-2024 09:27:46,12.694s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/11_city""), city)",Chrome 121.0.0.0,,,12-02-2024 09:27:46,12-02-2024 09:27:48,1.332s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/12_address""), address)",Chrome 121.0.0.0,,,12-02-2024 09:27:48,12-02-2024 09:27:49,1.547s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/13_state""), state)",Chrome 121.0.0.0,,,12-02-2024 09:27:49,12-02-2024 09:27:51,1.580s,PASSED
"setText(findTestObject(""Object Repository/6_user/Page_Advantage Shopping/14_poscal_code""), poscal_code)",Chrome 121.0.0.0,,,12-02-2024 09:27:51,12-02-2024 09:27:53,1.813s,PASSED
